% Model,transient_real_pressure.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 20 2025, 18:26"
% Table,探针表 1 - 
% 时间 (s),"总声压 (Pa), 点探针 1","总声压 (Pa), 点探针 2"
0,4.076894369663095E-41,4.2685553972440385E-14
1.6666666666666667E-5,7.734737343083984E-40,1.8548146949180355E-8
3.3333333333333335E-5,-3.3462548802470434E-39,2.8914565010563184E-8
5.0E-5,1.2855817547058889E-38,2.621291710612953E-8
6.666666666666667E-5,-9.11072639710399E-38,6.369070868397776E-9
8.333333333333334E-5,6.981588133240515E-37,-2.4834076197468824E-8
1.0000000000000002E-4,-3.603435286621709E-36,-4.073708128697494E-8
1.1666666666666669E-4,1.2890511662189766E-35,-5.355188515350273E-9
1.3333333333333337E-4,-3.211913409733874E-35,1.0043129932355905E-7
1.5000000000000004E-4,4.901424495372787E-35,2.655406784686985E-7
1.6666666666666672E-4,-7.012772874651012E-36,4.5973993310297515E-7
1.833333333333334E-4,-1.8175658027359722E-34,6.592366098008015E-7
2.0000000000000006E-4,4.66226494397257E-34,8.57931745053951E-7
2.1666666666666674E-4,-3.6630531676544066E-34,1.0514072567132437E-6
2.333333333333334E-4,-8.494403098128741E-34,1.228128266401063E-6
2.5000000000000006E-4,2.7424916487474273E-33,1.3890570790913284E-6
2.6666666666666673E-4,-2.0327450051968476E-33,1.5551160410231121E-6
2.833333333333334E-4,-4.865934244611367E-33,1.740130325653379E-6
3.000000000000001E-4,1.287019560305762E-32,1.9346491506044388E-6
3.1666666666666676E-4,-4.689534293472364E-33,2.125242907211987E-6
3.3333333333333343E-4,-2.7609748213396196E-32,2.3094325649715974E-6
3.500000000000001E-4,4.73228370370605E-32,2.485045974746286E-6
3.666666666666668E-4,1.2250460209181658E-32,2.6463240989403268E-6
3.8333333333333345E-4,-1.338767596481953E-31,2.8005523662309873E-6
4.0000000000000013E-4,1.191858560430485E-31,2.9705529317097704E-6
4.166666666666668E-4,2.059417572977958E-31,3.1664782135855045E-6
4.333333333333335E-4,-4.96759822352342E-31,3.3671373985408376E-6
4.5000000000000015E-4,-3.2800871711667416E-32,3.5446084044966255E-6
4.666666666666668E-4,1.1726279601051252E-30,3.698960026130698E-6
4.833333333333335E-4,-9.01948770001921E-31,3.853001737697676E-6
5.000000000000001E-4,-1.4839208085223738E-30,4.019102692801859E-6
