% Model,transient_real_pressure.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 20 2025, 18:08"
% Table,探针表 1 - 
% 时间 (s),"总声压 (Pa), 点探针 1","总声压 (Pa), 点探针 2"
0,2.9120673584205315E-41,3.0489681408885974E-14
1.6666666666666667E-5,3.2521496749383646E-40,1.3248794996112173E-8
3.3333333333333335E-5,-1.636209425118406E-39,2.0655585945751676E-8
5.0E-5,8.611379385527796E-39,1.8731403686145514E-8
6.666666666666667E-5,-6.864760836601719E-38,4.565755543984808E-9
8.333333333333334E-5,4.966583855661928E-37,-1.771296456800643E-8
1.0000000000000002E-4,-2.509589510472277E-36,-2.906584348995154E-8
1.1666666666666669E-4,9.003081651581368E-36,-3.791143004719617E-9
1.3333333333333337E-4,-2.273182692284452E-35,7.177228152752155E-8
1.5000000000000004E-4,3.5470677330151455E-35,1.8972129098068652E-7
1.6666666666666672E-4,-7.263152057995103E-36,3.284800964778941E-7
1.833333333333334E-4,-1.2656038321078854E-34,4.710767946015117E-7
2.0000000000000006E-4,3.360432096759737E-34,6.131783792041242E-7
2.1666666666666674E-4,-2.81432981633133E-34,7.516523669382139E-7
2.333333333333334E-4,-5.85127459181979E-34,8.782821765613097E-7
2.5000000000000006E-4,1.996617350389472E-33,9.937758885480698E-7
2.6666666666666673E-4,-1.579037275325317E-33,1.1130969680361207E-6
2.833333333333334E-4,-3.43622918251034E-33,1.2461399849779112E-6
3.000000000000001E-4,9.538191094244105E-33,1.3861759001173668E-6
3.1666666666666676E-4,-3.7913643453734E-33,1.5236347406862736E-6
3.3333333333333343E-4,-2.0263349686727924E-32,1.6567679321353013E-6
3.500000000000001E-4,3.5162295033326985E-32,1.7840452948540984E-6
3.666666666666668E-4,9.124079563971348E-33,1.9013735182679855E-6
3.8333333333333345E-4,-9.795798581349237E-32,2.013975117810402E-6
4.0000000000000013E-4,8.477060379001606E-32,2.138169460833571E-6
4.166666666666668E-4,1.4802714485272548E-31,2.281227807078025E-6
4.333333333333335E-4,-3.472567821367071E-31,2.42803621528176E-6
4.5000000000000015E-4,-1.2891665207153737E-32,2.5586731843022445E-6
4.666666666666668E-4,7.79483596671368E-31,2.673208068531676E-6
4.833333333333335E-4,-7.060010751574236E-31,2.7879508761989044E-6
5.000000000000001E-4,-7.670508284090832E-31,2.911754054631876E-6
5.166666666666668E-4,2.774770510700072E-30,3.03833811052864E-6
5.333333333333335E-4,-3.5589663867859536E-30,3.1611732913196915E-6
5.500000000000001E-4,-8.569028954967525E-30,3.284146511152484E-6
5.666666666666668E-4,3.196823916788031E-29,3.41319452673638E-6
5.833333333333335E-4,3.517233841303582E-29,3.5453067325636153E-6
6.000000000000002E-4,-1.7169259359510902E-28,3.6720472999743326E-6
6.166666666666668E-4,-2.118319034418899E-28,3.7893466914461923E-6
6.333333333333335E-4,7.321562959826109E-28,3.899533348854705E-6
6.500000000000002E-4,1.3298968839238454E-27,4.009174614673535E-6
6.666666666666669E-4,-2.4206490288071395E-27,4.127344459756482E-6
6.833333333333335E-4,-7.25830155804876E-27,4.257870346965801E-6
7.000000000000002E-4,4.77592833459374E-27,4.391114394750184E-6
7.166666666666669E-4,3.2873772541607956E-26,4.512237396260228E-6
7.333333333333336E-4,7.793113247466637E-27,4.618738697277265E-6
7.500000000000002E-4,-1.1944371039069085E-25,4.721603635891365E-6
7.666666666666669E-4,-1.3385428366818505E-25,4.830162340870287E-6
7.833333333333336E-4,3.167062765644165E-25,4.944825121934569E-6
8.000000000000003E-4,7.77538365483544E-25,5.063612155753453E-6
8.166666666666669E-4,-3.6677302313119007E-25,5.185792638481732E-6
8.333333333333336E-4,-3.0562221963669304E-24,5.3071310001665404E-6
8.500000000000003E-4,-1.862878734130164E-24,5.419820259982356E-6
8.66666666666667E-4,8.303889480405468E-24,5.521397865541815E-6
8.833333333333336E-4,1.5036013144742987E-23,5.618737688405011E-6
9.000000000000003E-4,-1.0668147054458325E-23,5.720027811988944E-6
9.16666666666667E-4,-6.039624218644463E-23,5.827013461828701E-6
9.333333333333336E-4,-3.462219492507221E-23,5.936982304174477E-6
9.500000000000003E-4,1.5070876279955719E-22,6.047494585087184E-6
9.66666666666667E-4,2.8517616951848346E-22,6.157025258322799E-6
9.833333333333337E-4,-1.2790822462700442E-22,6.26420982681593E-6
0.0010000000000000002,-1.0291944519674623E-21,6.367225912503562E-6
0.0010166666666666668,-8.601631158640532E-22,6.463031412911722E-6
0.0010333333333333334,2.045392289834578E-21,6.550708841372362E-6
0.00105,5.0787869700599546E-21,6.637425281626062E-6
0.0010666666666666665,2.6475940317129076E-22,6.7347637815919465E-6
0.001083333333333333,-1.444148341317306E-20,6.844719162576682E-6
0.0010999999999999996,-1.8797127921263506E-20,6.9553746761865975E-6
0.0011166666666666662,1.7350639472133564E-20,7.054821980270432E-6
0.0011333333333333328,7.44132678267812E-20,7.142364592981725E-6
0.0011499999999999993,4.6333826251241153E-20,7.222599998618446E-6
0.001166666666666666,-1.4348086247631993E-19,7.299162172353592E-6
0.0011833333333333325,-3.0789361548703476E-19,7.3794729681942226E-6
0.001199999999999999,-1.6195015480978906E-20,7.472701988525645E-6
0.0012166666666666656,7.843866305433019E-19,7.575248539295379E-6
0.0012333333333333322,1.0646684220782553E-18,7.67022162739998E-6
0.0012499999999999987,-6.074518393410917E-19,7.748731587591115E-6
0.0012666666666666653,-3.4967338119790435E-18,7.82053611010944E-6
0.0012833333333333319,-3.1275595805404797E-18,7.897845360331393E-6
0.0012999999999999984,4.505632478780139E-18,7.980273061070306E-6
0.001316666666666665,1.3758997909262513E-17,8.06158666730351E-6
0.0013333333333333316,7.530605827589846E-18,8.140190971673549E-6
0.0013499999999999981,-2.3193231417535908E-17,8.21620739327349E-6
0.0013666666666666647,-4.943923229509216E-17,8.287268752614175E-6
0.0013833333333333313,-1.1442056770144039E-17,8.354226136925065E-6
0.0013999999999999978,1.0127050242159599E-16,8.423817482429376E-6
0.0014166666666666644,1.6250125456678007E-16,8.498879184795796E-6
0.001433333333333331,-1.6837495758022062E-17,8.572562853279994E-6
0.0014499999999999975,-3.9250815752461614E-16,8.639166316898733E-6
0.001466666666666664,-4.797133385792361E-16,8.703244575620574E-6
0.0014833333333333306,2.405337107512119E-16,8.769756824463753E-6
0.0014999999999999972,1.3588548393164785E-15,8.83334538425347E-6
0.0015166666666666638,1.2416265057293444E-15,8.887688039473856E-6
0.0015333333333333303,-1.2712259996492765E-15,8.938267160968264E-6
0.001549999999999997,-4.204297667632646E-15,8.994897429886533E-6
0.0015666666666666635,-2.7606478047375424E-15,9.057302048685305E-6
0.00158333333333333,4.943735400033594E-15,9.118006172396871E-6
0.0015999999999999966,1.1732486675786593E-14,9.174212031729189E-6
0.0016166666666666632,5.225518862749343E-15,9.227408214346765E-6
0.0016333333333333297,-1.596020379109913E-14,9.275895783185201E-6
0.0016499999999999963,-3.0261074901614326E-14,9.317283772611912E-6
0.0016666666666666629,-8.601050942270425E-15,9.355858243509904E-6
0.0016833333333333294,4.558495450113217E-14,9.39923655040639E-6
0.001699999999999996,7.515479045187002E-14,9.448749718906124E-6
0.0017166666666666626,1.3593500936457459E-14,9.498888023954915E-6
0.0017333333333333291,-1.218264023796675E-13,9.544332844838283E-6
0.0017499999999999957,-1.877946334583732E-13,9.582829692889898E-6
0.0017666666666666623,-2.4540019369956947E-14,9.614358963767654E-6
0.0017833333333333288,3.1987257889026223E-13,9.642368672988453E-6
0.0017999999999999954,4.819414400292867E-13,9.672625322588806E-6
0.001816666666666662,5.257723406028877E-14,9.706886690661365E-6
0.0018333333333333285,-8.413112046563423E-13,9.7410301188612E-6
0.001849999999999995,-1.2467728324790203E-12,9.771645035476763E-6
0.0018666666666666617,-1.0937907049966566E-13,9.799803275302513E-6
0.0018833333333333282,2.184344630669466E-12,9.82641403999066E-6
0.0018999999999999948,3.138085374581684E-12,9.84909465720382E-6
0.0019166666666666614,1.9069885008604524E-13,9.8662507449269E-6
