% Model,transient_real_pressure.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 20 2025, 18:31"
% Table,探针表 1 - 
% 时间 (s),"总声压 (Pa), 点探针 1","总声压 (Pa), 点探针 2"
0,4.0768943267950484E-41,4.2685553972440385E-14
1.6666666666666667E-5,5.741791753164543E-40,1.8548146949180355E-8
3.3333333333333335E-5,-2.6898538104756175E-39,2.8914565010563184E-8
5.0E-5,1.237075175393206E-38,2.6212917106129458E-8
6.666666666666667E-5,-9.4249002056086E-38,6.3690708683977484E-9
8.333333333333334E-5,6.961413873270166E-37,-2.4834076197468795E-8
1.0000000000000002E-4,-3.546098935067849E-36,-4.07370812869748E-8
1.1666666666666669E-4,1.2709532305986653E-35,-5.355188515350229E-9
1.3333333333333337E-4,-3.1934473999799644E-35,1.0043129932355905E-7
1.5000000000000004E-4,4.942719166717833E-35,2.6554067846869854E-7
1.6666666666666672E-4,-9.014797680052761E-36,4.5973993310297515E-7
1.833333333333334E-4,-1.7888196544679353E-34,6.592366098008013E-7
2.0000000000000006E-4,4.689641006941373E-34,8.57931745053951E-7
2.1666666666666674E-4,-3.8383540009621735E-34,1.0514072567132437E-6
2.333333333333334E-4,-8.30519820641877E-34,1.2281282664010627E-6
2.5000000000000006E-4,2.776179054960137E-33,1.389057079091328E-6
2.6666666666666673E-4,-2.1448210078249608E-33,1.555116041023112E-6
2.833333333333334E-4,-4.83266972358931E-33,1.740130325653379E-6
3.000000000000001E-4,1.317562474807287E-32,1.9346491506044396E-6
3.1666666666666676E-4,-5.074653490773241E-33,2.125242907211987E-6
3.3333333333333343E-4,-2.809164087668373E-32,2.3094325649715974E-6
3.500000000000001E-4,4.850908288166759E-32,2.485045974746286E-6
3.666666666666668E-4,1.258885360873601E-32,2.646324098940326E-6
3.8333333333333345E-4,-1.3588482489066291E-31,2.8005523662309873E-6
4.0000000000000013E-4,1.1885466221667253E-31,2.9705529317097704E-6
4.166666666666668E-4,2.065558747575358E-31,3.166478213585502E-6
4.333333333333335E-4,-4.901024419994821E-31,3.3671373985408376E-6
4.5000000000000015E-4,-2.2636352118988676E-32,3.5446084044966268E-6
4.666666666666668E-4,1.1217196829107468E-30,3.698960026130698E-6
4.833333333333335E-4,-9.599278115504775E-31,3.853001737697667E-6
5.000000000000001E-4,-1.2281810948420078E-30,4.0191026928018465E-6
5.166666666666668E-4,3.7462967084887126E-30,4.188445597784954E-6
5.333333333333335E-4,-4.353274422753485E-30,4.351862347930961E-6
5.500000000000001E-4,-1.134415356628509E-29,4.514769153418617E-6
5.666666666666668E-4,4.253680526502885E-29,4.6854522096745135E-6
5.833333333333335E-4,4.634357764784956E-29,4.859670351066775E-6
6.000000000000002E-4,-2.333689860797912E-28,5.02558668745654E-6
6.166666666666668E-4,-2.8470812313140435E-28,5.177478579672371E-6
6.333333333333335E-4,1.0047705775881668E-27,5.318582943577078E-6
6.500000000000002E-4,1.816549707564796E-27,5.458073031404757E-6
6.666666666666669E-4,-3.3342328296307994E-27,5.608631763371452E-6
6.833333333333335E-4,-9.99385953877353E-27,5.7755953469333914E-6
7.000000000000002E-4,6.552054862145312E-27,5.945446106246412E-6
7.166666666666669E-4,4.539994343527036E-26,6.097384220744942E-6
7.333333333333336E-4,1.114308677475388E-26,6.227886803235201E-6
7.500000000000002E-4,-1.6490203872282337E-25,6.3523149240029744E-6
7.666666666666669E-4,-1.8704299102725645E-25,6.483713569674188E-6
7.833333333333336E-4,4.352313234592741E-25,6.622639094384346E-6
