% Model,transient_real_pressure.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 20 2025, 17:41"
% Table,探针表 1 - 
% 时间 (s),"总声压 (Pa), 点探针 1","总声压 (Pa), 点探针 2"
0,2.329653932682181E-41,2.4391745127108784E-14
1.6666666666666667E-5,4.74697656849176E-40,1.059907157817327E-8
3.3333333333333335E-5,-2.0181142474419174E-39,1.6525166344285228E-8
5.0E-5,7.419835232272995E-39,1.4987490607010814E-8
6.666666666666667E-5,-5.154188484504215E-38,3.657531165912776E-9
8.333333333333334E-5,3.9936247221098845E-37,-1.416267043206385E-8
1.0000000000000002E-4,-2.0688284250760825E-36,-2.3243046848612905E-8
1.1666666666666669E-4,7.396161107909587E-36,-3.0227047388333266E-9
1.3333333333333337E-4,-1.8383610999632295E-35,5.742853718152082E-8
1.5000000000000004E-4,2.793600030616122E-35,1.5179187686081223E-7
1.6666666666666672E-4,-3.6688390948917195E-36,2.628124509643981E-7
1.833333333333334E-4,-1.0433378948037927E-34,3.7691955179406584E-7
2.0000000000000006E-4,2.659252769983161E-34,4.90653800191885E-7
2.1666666666666674E-4,-2.0636500362856045E-34,6.015162084679649E-7
2.333333333333334E-4,-4.884741754165635E-34,7.029403158379544E-7
2.5000000000000006E-4,1.561323292523452E-33,7.954988298971124E-7
2.6666666666666673E-4,-1.1428900222279721E-33,8.911682394256E-7
2.833333333333334E-4,-2.785436342691945E-33,9.978700822884733E-7
3.000000000000001E-4,7.303034437380683E-33,1.110227643416018E-6
3.1666666666666676E-4,-2.6171617629369665E-33,1.2205918003282836E-6
3.3333333333333343E-4,-1.5695188196585814E-32,1.3275704314602805E-6
3.500000000000001E-4,2.684828847824402E-32,1.4299459062160397E-6
3.666666666666668E-4,6.941574478393227E-33,1.5244497871593549E-6
3.8333333333333345E-4,-7.618240436945484E-32,1.615265822314412E-6
4.0000000000000013E-4,6.815948503231276E-32,1.7154550191765317E-6
4.166666666666668E-4,1.1765011190052153E-31,1.8308404325702853E-6
4.333333333333335E-4,-2.849384439281266E-31,1.9493378263688933E-6
4.5000000000000015E-4,-2.0751990194179053E-32,2.0550170881872578E-6
4.666666666666668E-4,6.783357728113022E-31,2.1479400280904485E-6
4.833333333333335E-4,-5.044816249758284E-31,2.2411602003215895E-6
5.000000000000001E-4,-8.89295674221101E-31,2.3417650825973708E-6
5.166666666666668E-4,1.9371105104858777E-30,2.444737000972724E-6
5.333333333333335E-4,-1.734211631231418E-30,2.54485820136895E-6
5.500000000000001E-4,-5.571014551432056E-30,2.6452440852582885E-6
5.666666666666668E-4,2.1701062402381479E-29,2.7506499177817908E-6
5.833333333333335E-4,2.2618397759763899E-29,2.8586733350246904E-6
6.000000000000002E-4,-1.2531198999915301E-28,2.962571918946964E-6
6.166666666666668E-4,-1.474652057673945E-28,3.0590960124454834E-6
6.333333333333335E-4,5.513933337942474E-28,3.1501138695870137E-6
6.500000000000002E-4,9.814906492415708E-28,3.2408845025462986E-6
6.666666666666669E-4,-1.844851755677193E-27,3.3386721834912413E-6
6.833333333333335E-4,-5.505224027662103E-27,3.446544362810671E-6
7.000000000000002E-4,3.598122433650441E-27,3.556796772311935E-6
7.166666666666669E-4,2.5184757100635556E-26,3.6575641890833742E-6
7.333333333333336E-4,6.601008830965968E-27,3.7468516427315068E-6
7.500000000000002E-4,-9.141207025427884E-26,3.833452237687815E-6
7.666666666666669E-4,-1.062853784676987E-25,3.924834698177424E-6
7.833333333333336E-4,2.388170773156209E-25,4.021332130153178E-6
8.000000000000003E-4,6.09386755697983E-25,4.121365806758528E-6
8.166666666666669E-4,-2.505319204841708E-25,4.2243563965531205E-6
8.333333333333336E-4,-2.364811640443142E-24,4.326920886405652E-6
8.500000000000003E-4,-1.5702965862248923E-24,4.4228190594963774E-6
8.66666666666667E-4,6.288560077792433E-24,4.510085802224081E-6
8.833333333333336E-4,1.1946688882147197E-23,4.59422458340086E-6
9.000000000000003E-4,-7.418968790405771E-24,4.681790002649946E-6
9.16666666666667E-4,-4.680181733885862E-23,4.774182523791938E-6
9.333333333333336E-4,-2.965353533890465E-23,4.869236806738932E-6
9.500000000000003E-4,1.1321195745942265E-22,4.965005693857773E-6
9.66666666666667E-4,2.25443856678122E-22,5.060273791385071E-6
9.833333333333337E-4,-8.169554621417878E-23,5.153954065540989E-6
0.0010000000000000002,-7.877094369789843E-22,5.2445930290177705E-6
0.0010166666666666668,-7.079962818467559E-22,5.329761174239749E-6
0.0010333333333333334,1.494436670599674E-21,5.408728304275001E-6
0.00105,3.935541466068698E-21,5.48723146363777E-6
0.0010666666666666665,4.916564029966439E-22,5.574540393906271E-6
0.001083333333333333,-1.0770934725924264E-20,5.672254720080942E-6
0.0010999999999999996,-1.4849947906866653E-20,5.770845370828616E-6
0.0011166666666666662,1.172616584992225E-20,5.860790005654516E-6
0.0011333333333333328,5.604405598150064E-20,5.941535209686761E-6
0.0011499999999999993,3.8784271786989465E-20,6.016762125673576E-6
0.001166666666666666,-1.0221843764967055E-19,6.0893806902419166E-6
0.0011833333333333325,-2.3426776136382433E-19,6.165330936442507E-6
0.001199999999999999,-3.233883325087091E-20,6.251951245257719E-6
0.0012166666666666656,5.6746444831253085E-19,6.34636432818286E-6
0.0012333333333333322,8.231977699360892E-19,6.435061054775195E-6
0.0012499999999999987,-3.620493880330591E-19,6.510932971355984E-6
0.0012666666666666653,-2.5502727844686232E-18,6.581788698417287E-6
0.0012833333333333319,-2.487955549870358E-18,6.657398464907819E-6
0.0012999999999999984,2.976913241212657E-18,6.7374555491302295E-6
0.001316666666666665,1.0093257668904064E-17,6.816976420900639E-6
0.0013333333333333316,6.356112804070871E-18,6.894687338743722E-6
0.0013499999999999981,-1.5756649300520202E-17,6.9706876917840225E-6
0.0013666666666666647,-3.6453240508556114E-17,7.043085818152797E-6
0.0013833333333333313,-1.1823256780067655E-17,7.112564392845485E-6
0.0013999999999999978,6.956487003154815E-17,7.184515335288393E-6
0.0014166666666666644,1.2060881707991177E-16,7.2612094088838605E-6
0.001433333333333331,1.42851088721785E-18,7.337169765660426E-6
0.0014499999999999975,-2.7089697922364227E-16,7.407836445294671E-6
0.001466666666666664,-3.603599437378511E-16,7.476854853762963E-6
0.0014833333333333306,1.2316894957661732E-16,7.548193553434287E-6
0.0014999999999999972,9.403311303955868E-16,7.617567635262144E-6
0.0015166666666666638,9.552696550130132E-16,7.679920404536683E-6
0.0015333333333333303,-7.402588028150202E-16,7.739638444654068E-6
0.001549999999999997,-2.918140919621575E-15,7.804574006143596E-6
0.0015666666666666635,-2.224221326330028E-15,7.874506298651146E-6
0.00158333333333333,2.9942544533299634E-15,7.94345615898141E-6
0.0015999999999999966,8.178911998184672E-15,8.009185942154825E-6
0.0016166666666666632,4.58632060118327E-15,8.072887064853438E-6
0.0016333333333333297,-9.819066690605072E-15,8.133201013044947E-6
0.0016499999999999963,-2.12020102535376E-14,8.188215319135035E-6
0.0016666666666666629,-8.747126830855048E-15,8.24135827322492E-6
0.0016833333333333294,2.8208324085093873E-14,8.298722616146026E-6
0.001699999999999996,5.2824445559969434E-14,8.361372494790455E-6
0.0017166666666666626,1.6935249280831354E-14,8.424900560758169E-6
0.0017333333333333291,-7.541442444019095E-14,8.485052769488382E-6
0.0017499999999999957,-1.3181707840531362E-13,8.540025354526878E-6
0.0017666666666666623,-3.640919377776412E-14,8.58980078965895E-6
0.0017833333333333288,1.974378369813385E-13,8.637135101185609E-6
0.0017999999999999954,3.3640496714909366E-13,8.686640430095973E-6
0.001816666666666662,8.602822595041842E-14,8.739723490214511E-6
0.0018333333333333285,-5.169573017132207E-13,8.793085879891845E-6
0.001849999999999995,-8.649956875135756E-13,8.84399586303543E-6
0.0018666666666666617,-2.040085842112743E-13,8.893306113564687E-6
0.0018833333333333282,1.3345495152704764E-12,8.94174230743647E-6
0.0018999999999999948,2.168210003064042E-12,8.987401762340417E-6
0.0019166666666666614,4.638551372570598E-13,9.029012602353486E-6
0.001933333333333328,-3.2731215279792685E-12,9.068726082204818E-6
0.0019499999999999945,-5.11230618463201E-12,9.11001910082964E-6
0.0019666666666666613,-9.741415331488886E-13,9.154124136238583E-6
0.001983333333333328,7.44706599802359E-12,9.198479288511652E-6
0.0019999999999999944,1.1142858075698549E-11,9.237826390374403E-6
0.002016666666666661,1.924505719248349E-12,9.268381180843829E-6
0.0020333333333333275,-1.5413750207174013E-11,9.292369626762944E-6
0.002049999999999994,-2.2016059623487944E-11,9.31668929751662E-6
0.0020666666666666607,-3.0222214564496497E-12,9.345608312468734E-6
0.0020833333333333272,2.995339428940678E-11,9.376503901377415E-6
0.002099999999999994,4.07215496266929E-11,9.40383268502008E-6
0.0021166666666666604,4.478812530708437E-12,9.42505940227006E-6
0.002133333333333327,-5.416760651303227E-11,9.441297712220695E-6
0.0021499999999999935,-7.035382285507938E-11,9.454240414348148E-6
0.00216666666666666,-3.665212599953223E-12,9.464422982323834E-6
0.0021833333333333266,1.0128957669037093E-10,9.471655044203554E-6
0.002199999999999993,1.3522802895668696E-10,9.476058188538891E-6
0.0022166666666666598,2.9446534431334114E-11,9.479177307982343E-6
