% Model,transient_real_pressure.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 20 2025, 18:25"
% Table,探针表 1 - 
% 时间 (s),"总声压 (Pa), 点探针 1","总声压 (Pa), 点探针 2"
0,4.076894382193757E-41,4.2685553972440385E-14
1.6666666666666667E-5,8.307206163720157E-40,1.8548146949180355E-8
3.3333333333333335E-5,-3.5316957275956386E-39,2.8914565010563184E-8
5.0E-5,1.298472562661232E-38,2.621291710612953E-8
6.666666666666667E-5,-9.01991888876559E-38,6.369070868397776E-9
8.333333333333334E-5,6.988953123816663E-37,-2.4834076197468824E-8
1.0000000000000002E-4,-3.6205278107484965E-36,-4.073708128697494E-8
1.1666666666666669E-4,1.2943652955880925E-35,-5.355188515350273E-9
1.3333333333333337E-4,-3.2172533788434555E-35,1.0043129932355905E-7
1.5000000000000004E-4,4.889057303845887E-35,2.655406784686985E-7
1.6666666666666672E-4,-6.422772546960377E-36,4.5973993310297515E-7
1.833333333333334E-4,-1.8258939051330183E-34,6.592366098008013E-7
2.0000000000000006E-4,4.653924744152994E-34,8.57931745053951E-7
2.1666666666666674E-4,-3.6117126258602974E-34,1.0514072567132437E-6
2.333333333333334E-4,-8.548481721080332E-34,1.228128266401063E-6
2.5000000000000006E-4,2.732462956237917E-33,1.3890570790913282E-6
2.6666666666666673E-4,-2.0002510361892722E-33,1.555116041023112E-6
2.833333333333334E-4,-4.8746622673797204E-33,1.740130325653379E-6
3.000000000000001E-4,1.2781098552574116E-32,1.9346491506044396E-6
3.1666666666666676E-4,-4.5807087287524366E-33,2.125242907211987E-6
3.3333333333333343E-4,-2.7467809825669557E-32,2.3094325649715974E-6
3.500000000000001E-4,4.698783861386231E-32,2.485045974746286E-6
3.666666666666668E-4,1.2146753581582331E-32,2.646324098940326E-6
3.8333333333333345E-4,-1.333265270226373E-31,2.8005523662309856E-6
4.0000000000000013E-4,1.192904931362027E-31,2.9705529317097704E-6
4.166666666666668E-4,2.0589391382289176E-31,3.166478213585504E-6
4.333333333333335E-4,-4.986793191132775E-31,3.3671373985408384E-6
4.5000000000000015E-4,-3.6297380387092426E-32,3.5446084044966268E-6
4.666666666666668E-4,1.1871670077566974E-30,3.698960026130697E-6
4.833333333333335E-4,-8.829387236271058E-31,3.853001737697668E-6
5.000000000000001E-4,-1.556375163595284E-30,4.019102692801854E-6
5.166666666666668E-4,3.390133069866881E-30,4.188445597784957E-6
5.333333333333335E-4,-3.0349694065662324E-30,4.351862347930968E-6
5.500000000000001E-4,-9.749028862298946E-30,4.514769153418622E-6
5.666666666666668E-4,3.797895573094339E-29,4.6854522096745135E-6
5.833333333333335E-4,3.9578242114518026E-29,4.859670351066773E-6
