% Model,transient_real_pressure.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 20 2025, 18:56"
% Table,探针表 1 - 
% 时间 (s),"总声压 (Pa), 点探针 1","总声压 (Pa), 点探针 2"
0,5.241721306243818E-41,5.488142653599472E-14
1.6666666666666667E-5,8.736314889496597E-40,2.3847332858655644E-8
3.3333333333333335E-5,-3.906981784477172E-39,3.717028904028489E-8
5.0E-5,1.6243674040058257E-38,3.368338542889518E-8
6.666666666666667E-5,-1.1904891840312929E-37,8.149412437583806E-9
8.333333333333334E-5,8.962887254786096E-37,-3.199107513665349E-8
1.0000000000000002E-4,-4.597783643421667E-36,-5.24531322451692E-8
1.1666666666666669E-4,1.646323785183469E-35,-6.966657217561349E-9
1.3333333333333337E-4,-4.1185236975549215E-35,1.2904069647378564E-7
1.5000000000000004E-4,6.327623172924339E-35,3.412913538584616E-7
1.6666666666666672E-4,-1.0246199874714898E-35,5.908681748519502E-7
1.833333333333334E-4,-2.3194399770760913E-34,8.471264105224351E-7
2.0000000000000006E-4,6.011637027320952E-34,1.1021684779978574E-6
2.1666666666666674E-4,-4.81720358741924E-34,1.350258254962772E-6
2.333333333333334E-4,-1.0807070569990994E-33,1.576511157884344E-6
2.5000000000000006E-4,3.546974060101696E-33,1.782115078272072E-6
2.6666666666666673E-4,-2.6820039058410128E-33,1.993925240236787E-6
2.833333333333334E-4,-6.236911099292742E-33,2.2296708473309945E-6
3.000000000000001E-4,1.6734791050682186E-32,2.477150064721835E-6
3.1666666666666676E-4,-6.26229764653294E-33,2.7190430054482233E-6
3.3333333333333343E-4,-3.5795078693645117E-32,2.952110367749168E-6
3.500000000000001E-4,6.156238797648963E-32,3.173509572275791E-6
3.666666666666668E-4,1.5960277721254005E-32,3.3757891336341886E-6
3.8333333333333345E-4,-1.7333165428062485E-31,3.5682732455497295E-6
4.0000000000000013E-4,1.5304334185621828E-31,3.7802641152582112E-6
4.166666666666668E-4,2.650526814157064E-31,4.024770491878833E-6
4.333333333333335E-4,-6.346891423992607E-31,4.274496223306334E-6
4.5000000000000015E-4,-3.5490317425135243E-32,4.493489824642716E-6
4.666666666666668E-4,1.4769393060970748E-30,4.681794736794688E-6
4.833333333333335E-4,-1.1969586667523737E-30,4.868699235681269E-6
5.000000000000001E-4,-1.753704657483815E-30,5.070069161119814E-6
5.166666666666668E-4,4.641025365042812E-30,5.274528062059395E-6
5.333333333333335E-4,-4.8918325086064876E-30,5.470248084377064E-6
5.500000000000001E-4,-1.37823272661103E-29,5.664154740887881E-6
5.666666666666668E-4,5.223368699656903E-29,5.866864314141166E-6
5.833333333333335E-4,5.611529728278667E-29,6.0728851223850535E-6
6.000000000000002E-4,-2.9240565505215665E-28,6.266959309210903E-6
6.166666666666668E-4,-3.52174880732717E-28,6.441693149373283E-6
6.333333333333335E-4,1.2700870154480732E-27,6.6012169216972185E-6
6.500000000000002E-4,2.283474566749743E-27,6.75729705298039E-6
6.666666666666669E-4,-4.228963496575803E-27,6.926213575462451E-6
6.833333333333335E-4,-1.2658852345687597E-26,7.114798520698018E-6
7.000000000000002E-4,8.284239652441778E-27,7.3056396248541715E-6
7.166666666666669E-4,5.766918123416326E-26,7.471961909195195E-6
7.333333333333336E-4,1.4555162702359905E-26,7.609209217784156E-6
7.500000000000002E-4,-2.0941354004676443E-25,7.73711144293156E-6
7.666666666666669E-4,-2.3997965294827217E-25,7.87242329155632E-6
7.833333333333336E-4,5.504567416566857E-25,8.015841706770708E-6
8.000000000000003E-4,1.3830245294860312E-24,8.163758805002229E-6
8.166666666666669E-4,-6.020993749969977E-25,8.314813680423409E-6
8.333333333333336E-4,-5.3950124526789195E-24,8.461336288800591E-6
8.500000000000003E-4,-3.4637268775761846E-24,8.589230390597566E-6
8.66666666666667E-4,1.4473733575077326E-23,8.694027181123946E-6
8.833333333333336E-4,2.696884532477004E-23,8.788072535902494E-6
9.000000000000003E-4,-1.7699872016705083E-23,8.886082584424192E-6
9.16666666666667E-4,-1.0672214506716176E-22,8.99117554244578E-6
9.333333333333336E-4,-6.501185018615248E-23,9.098443953577051E-6
9.500000000000003E-4,2.6145881520081184E-22,9.203470695443756E-6
9.66666666666667E-4,5.099708636096668E-22,9.303486509375253E-6
9.833333333333337E-4,-2.0234873930059477E-22,9.396013600344634E-6
0.0010000000000000002,-1.8052351281600767E-21,9.477753438834904E-6
0.0010166666666666668,-1.576297753601522E-21,9.543216734122231E-6
0.0010333333333333334,3.4907283106238046E-21,9.590745225351541E-6
0.00105,8.973795484898017E-21,9.633240058094543E-6
0.0010666666666666665,8.592895535575311E-22,9.69155351952861E-6
0.001083333333333333,-2.4942040341949894E-20,9.769273942777012E-6
0.0010999999999999996,-3.360202239001285E-20,9.844942358757806E-6
0.0011166666666666662,2.829609254518771E-20,9.897116200846388E-6
0.0011333333333333328,1.292553609794601E-19,9.924543478158676E-6
0.0011499999999999993,8.58399923709866E-20,9.93551129733066E-6
0.001166666666666666,-2.4115087306775664E-19,9.936579365366608E-6
0.0011833333333333325,-5.380864659413388E-19,9.941129782047597E-6
0.001199999999999999,-5.603443245369626E-20,9.965689805202993E-6
0.0012166666666666656,1.3301294780504306E-18,1.0003793496311427E-5
0.0012333333333333322,1.8789674271964344E-18,1.0025048090037925E-5
0.0012499999999999987,-9.223220017859853E-19,1.0013469872108689E-5
0.0012666666666666653,-5.957851999981035E-18,9.986652957471811E-6
0.0012833333333333319,-5.617461655406626E-18,9.966612339549059E-6
0.0012999999999999984,7.244894628089554E-18,9.952687761073713E-6
0.001316666666666665,2.3524146678499957E-17,9.933693977440343E-6
0.0013333333333333316,1.403961455603179E-17,9.906795257920471E-6
0.0013499999999999981,-3.789250585187116E-17,9.87224933984096E-6
0.0013666666666666647,-8.478874299299442E-17,9.825838007806427E-6
0.0013833333333333313,-2.437768489425531E-17,9.769140843036905E-6
0.0013999999999999978,1.6650995080394427E-16,9.714338025457692E-6
0.0014166666666666644,2.798135477842177E-16,9.666586901062892E-6
0.001433333333333331,-9.394271344135724E-18,9.61361027616907E-6
0.0014499999999999975,-6.471293826763407E-16,9.545196537216639E-6
0.001466666666666664,-8.321655230977971E-16,9.469603037078296E-6
0.0014833333333333306,3.3615103634586106E-16,9.39581791112239E-6
0.0014999999999999972,2.2438728983637824E-15,9.31425896457083E-6
0.0015166666666666638,2.1859243831262323E-15,9.213611234605803E-6
0.0015333333333333303,-1.9023182889639188E-15,9.103815473341572E-6
0.001549999999999997,-6.955225549522018E-15,9.002614508115811E-6
0.0015666666666666635,-5.002414549317182E-15,8.90958383251221E-6
0.00158333333333333,7.561079988994293E-15,8.811339642739739E-6
0.0015999999999999966,1.946078491047768E-14,8.702919014872333E-6
0.0016166666666666632,1.0001565719437939E-14,8.587078945211268E-6
0.0016333333333333297,-2.462678358712092E-14,8.460842584836094E-6
0.0016499999999999963,-5.034807023740422E-14,8.319991657743385E-6
0.0016666666666666629,-1.8157238659709245E-14,8.172331578103056E-6
0.0016833333333333294,7.057185871203651E-14,8.031666396620448E-6
0.001699999999999996,1.2528291722185934E-13,7.90048299074346E-6
0.0017166666666666626,3.309687447923948E-14,7.768952848166193E-6
0.0017333333333333291,-1.886359014853287E-13,7.627592358476646E-6
0.0017499999999999957,-3.1279230774867395E-13,7.472436240845778E-6
0.0017666666666666623,-6.802364192697071E-14,7.3035457343575255E-6
0.0017833333333333288,4.944113290457834E-13,7.127228948645364E-6
0.0017999999999999954,8.000262114504953E-13,6.953972330000591E-6
0.001816666666666662,1.5720670239548727E-13,6.7870477615113075E-6
0.0018333333333333285,-1.296845200222175E-12,6.619138962350464E-6
0.001849999999999995,-2.0621371920880965E-12,6.444207849675879E-6
0.0018666666666666617,-3.6288874717945246E-13,6.264285619847774E-6
0.0018833333333333282,3.355822401367569E-12,6.081117260565465E-6
0.0018999999999999948,5.177747171641424E-12,5.890530934399973E-6
0.0019166666666666614,7.867941756539334E-13,5.689777057569354E-6
0.001933333333333328,-8.261727478226E-12,5.48381946686174E-6
0.0019499999999999945,-1.2221812387598592E-11,5.280615914840647E-6
0.0019666666666666613,-1.516259942351282E-12,5.083074199055718E-6
0.001983333333333328,1.8922976887975014E-11,4.885552376685993E-6
0.0019999999999999944,2.6700945875117866E-11,4.676329497593134E-6
0.002016666666666661,2.6734268671050208E-12,4.447003933202059E-6
0.0020333333333333275,-3.961554399872463E-11,4.202717189073805E-6
0.002049999999999994,-5.307109987741251E-11,3.959142259665687E-6
0.0020666666666666607,-3.0243266302903446E-12,3.726038062815317E-6
0.0020833333333333272,7.825180921392193E-11,3.4976437613833654E-6
0.002099999999999994,9.962953002702696E-11,3.2616136313449104E-6
0.0021166666666666604,2.912151476753504E-12,3.0123741760932025E-6
0.002133333333333327,-1.4425151438930617E-10,2.752578971656415E-6
0.0021499999999999935,-1.7656947229063598E-10,2.486196400675555E-6
0.00216666666666666,2.884825008082962E-12,2.2145856586716906E-6
0.0021833333333333266,2.723966632168429E-10,1.9374585856558158E-6
0.002199999999999993,3.496826415476213E-10,1.6552260839984487E-6
0.0022166666666666598,6.385438783132751E-11,1.3715209215245737E-6
0.0022333333333333263,-4.068387641447027E-10,1.0930245379395492E-6
0.002249999999999993,-6.126729650436138E-10,8.22728229679972E-7
0.0022666666666666595,-2.243752615255142E-10,5.530504788318822E-7
0.002283333333333326,6.044705484614546E-10,2.716464563845545E-7
0.0022999999999999926,1.2790617668329409E-9,-2.402639409172884E-8
0.002316666666666659,1.2248846292084286E-9,-3.2425804373912255E-7
0.0023333333333333257,3.7993818658268847E-10,-6.206733853144706E-7
0.0023499999999999923,-7.048552425013338E-10,-9.137885278226912E-7
0.002366666666666659,-1.2100268169283309E-9,-1.2049334849038335E-6
0.0023833333333333254,-5.166085258067412E-10,-1.4914382625300568E-6
0.002399999999999992,1.5209531373708889E-9,-1.774044806949574E-6
0.0024166666666666585,4.530709530685223E-9,-2.058378999059497E-6
0.002433333333333325,7.685622608790515E-9,-2.3444777741425466E-6
0.0024499999999999917,9.922810015936327E-9,-2.6257679992684506E-6
0.0024666666666666582,1.0533167221049637E-8,-2.9027356072421717E-6
0.002483333333333325,1.0041382232309524E-8,-3.185085217574446E-6
0.0024999999999999914,1.0693796845797231E-8,-3.4741246976650937E-6
0.002516666666666658,1.574736710958975E-8,-3.7554877109926934E-6
0.0025333333333333245,2.7640616052021497E-8,-4.018027660298116E-6
0.002549999999999991,4.641643911425202E-8,-4.2697283489949985E-6
0.0025666666666666576,7.003651781869166E-8,-4.525314070029537E-6
0.002583333333333324,9.676015505465007E-8,-4.7860333603979084E-6
0.0025999999999999908,1.276512957727695E-7,-5.041809838924887E-6
0.0026166666666666573,1.666617768028491E-7,-5.287910997653967E-6
0.002633333333333324,2.176191508760674E-7,-5.528546508939451E-6
0.0026499999999999905,2.80359865935515E-7,-5.7651799844173955E-6
0.002666666666666657,3.49421281630235E-7,-5.990888973969425E-6
0.0026833333333333236,4.1678206588885994E-7,-6.199231035946959E-6
0.00269999999999999,4.767023996356948E-7,-6.392954349666787E-6
0.0027166666666666567,5.289004295779732E-7,-6.579870029043815E-6
0.0027333333333333233,5.777783275096726E-7,-6.762810410721761E-6
0.00274999999999999,6.287528750890473E-7,-6.937647014643616E-6
0.0027666666666666564,6.848546307661398E-7,-7.100684011923553E-6
0.002783333333333323,7.45896516204022E-7,-7.254253093950504E-6
0.0027999999999999896,8.098664594171187E-7,-7.402600795250915E-6
0.002816666666666656,8.74496342559977E-7,-7.543275237285915E-6
0.0028333333333333227,9.376461559945302E-7,-7.666226878366716E-6
0.0028499999999999893,9.970596199760652E-7,-7.764950521282701E-6
0.002866666666666656,1.050879342038016E-6,-7.848254812107224E-6
0.0028833333333333224,1.099152185820319E-6,-7.936646561451044E-6
0.002899999999999989,1.1448483811007972E-6,-8.043770418313222E-6
0.0029166666666666555,1.192782504768645E-6,-8.163225988384235E-6
0.002933333333333322,1.2466594631222075E-6,-8.277069793672886E-6
0.0029499999999999887,1.3064396871075814E-6,-8.376327715920802E-6
0.0029666666666666552,1.3682108273223857E-6,-8.46916724645064E-6
0.002983333333333322,1.426665614409309E-6,-8.568840191887414E-6
0.0029999999999999884,1.478154976393103E-6,-8.678817506104756E-6
0.003016666666666655,1.5221278075837204E-6,-8.793186535621292E-6
0.0030333333333333215,1.5605014318229492E-6,-8.908122571504018E-6
0.003049999999999988,1.5961960839960552E-6,-9.027049783343277E-6
0.0030666666666666546,1.6321218867305926E-6,-9.153709842516264E-6
0.003083333333333321,1.6707135655383457E-6,-9.284500912868015E-6
0.0030999999999999877,1.7133388308903356E-6,-9.410920205504743E-6
0.0031166666666666543,1.7594504390455004E-6,-9.528416441632557E-6
0.003133333333333321,1.8063314928118676E-6,-9.640337012086421E-6
0.0031499999999999874,1.8502376259472046E-6,-9.753227928041266E-6
0.003166666666666654,1.888478331662575E-6,-9.869877281381625E-6
0.0031833333333333206,1.920874307207792E-6,-9.986376633003055E-6
