% Model,transient_real_pressure.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 20 2025, 17:31"
% Table,探针表 1 - 
% 时间 (s),"总声压 (Pa), 点探针 1","总声压 (Pa), 点探针 2"
0,1.7472404318213113E-41,1.829380884533158E-14
1.6666666666666667E-5,2.7447345319887615E-40,7.949324439415843E-9
3.3333333333333335E-5,-1.2471044289129505E-39,1.2394281690163107E-8
5.0E-5,5.3734713224909196E-39,1.1241999150763486E-8
6.666666666666667E-5,-3.9945841269973265E-38,2.7460225744663655E-9
8.333333333333334E-5,2.9858844856699265E-37,-1.0617509642076157E-8
1.0000000000000002E-4,-1.5277273447298588E-36,-1.7426667017447808E-8
1.1666666666666669E-4,5.47224095277912E-36,-2.2610694728451115E-9
1.3333333333333337E-4,-1.3711788333319821E-35,4.307765724924067E-8
1.5000000000000004E-4,2.1124191766530297E-35,1.1385257539064855E-7
1.6666666666666672E-4,-3.580853552083598E-36,1.9712590227618558E-7
1.833333333333334E-4,-7.706869885249586E-35,2.827235834715085E-7
2.0000000000000006E-4,2.0059462925815574E-34,3.680551849078927E-7
2.1666666666666674E-4,-1.620115975913435E-34,4.5125055198687603E-7
2.333333333333334E-4,-3.586299333951045E-34,5.273888136011941E-7
2.5000000000000006E-4,1.1850048387264141E-33,5.969031500473761E-7
2.6666666666666673E-4,-9.032181965791163E-34,6.687792731238107E-7
2.833333333333334E-4,-2.076017242228168E-33,7.489617809621446E-7
3.000000000000001E-4,5.603123677505579E-33,8.334219555899617E-7
3.1666666666666676E-4,-2.1191731439042103E-33,9.164269753859038E-7
3.3333333333333343E-4,-1.1970894089795923E-32,9.969367051401992E-7
3.500000000000001E-4,2.0617405292664895E-32,1.074041751419683E-6
3.666666666666668E-4,5.349262105913371E-33,1.1452944446580305E-6
3.8333333333333345E-4,-5.793968939327904E-32,1.213835982696853E-6
4.0000000000000013E-4,5.09762467926242E-32,1.2894653844074848E-6
4.166666666666668E-4,8.84003975844733E-32,1.3765535216366974E-6
4.333333333333335E-4,-2.109698720310186E-31,1.4660413121337437E-6
4.5000000000000015E-4,-1.1011304465060939E-32,1.5459853737189742E-6
4.666666666666668E-4,4.879636391743133E-31,1.6164358291454692E-6
4.833333333333335E-4,-4.0369403971209265E-31,1.6871861629287334E-6
5.000000000000001E-4,-5.629727119357583E-31,1.7635552943055961E-6
5.166666666666668E-4,1.569238863260287E-30,1.8417835212771084E-6
5.333333333333335E-4,-1.7171672343333194E-30,1.9179611650479435E-6
5.500000000000001E-4,-4.695734408729892E-30,1.9944283191914924E-6
5.666666666666668E-4,1.7710240438579647E-29,2.074754978781951E-6
5.833333333333335E-4,1.9142963269735588E-29,2.1571430793601946E-6
6.000000000000002E-4,-9.838700103348436E-29,2.2365395989930254E-6
6.166666666666668E-4,-1.1913372840791266E-28,2.310510938742366E-6
6.333333333333335E-4,4.259255644918404E-28,2.3804616688255668E-6
6.500000000000002E-4,7.676349661537262E-28,2.4503392283146466E-6
6.666666666666669E-4,-1.4162653428788347E-27,2.525594988337398E-6
6.833333333333335E-4,-4.242942575838723E-27,2.6085329403375546E-6
7.000000000000002E-4,2.776665122551128E-27,2.6933786243405753E-6
7.166666666666669E-4,1.930752205316091E-26,2.7712369388865794E-6
7.333333333333336E-4,4.8294974227264915E-27,2.8406151413544745E-6
7.500000000000002E-4,-7.011256807179992E-26,2.908111139527369E-6
7.666666666666669E-4,-8.006615053068454E-26,2.979329445941311E-6
7.833333333333336E-4,1.8455393931620216E-25,3.0545230119502366E-6
8.000000000000003E-4,4.619699338786865E-25,3.1325110885048194E-6
