% Model,transient_real_pressure.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 20 2025, 18:03"
% Table,探针表 1 - 
% 时间 (s),"总声压 (Pa), 点探针 1","总声压 (Pa), 点探针 2"
0,2.912067371995402E-41,3.0489681408885974E-14
1.6666666666666667E-5,3.8987966435291814E-40,1.3248794996112173E-8
3.3333333333333335E-5,-1.853695127557502E-39,2.0655585945751676E-8
5.0E-5,8.783816115384705E-39,1.873140368614551E-8
6.666666666666667E-5,-6.763758812865868E-38,4.565755543984785E-9
8.333333333333334E-5,4.970814400798729E-37,-1.7712964568006464E-8
1.0000000000000002E-4,-2.5272564539690942E-36,-2.9065843489951557E-8
1.1666666666666669E-4,9.0600260062884E-36,-3.791143004719632E-9
1.3333333333333337E-4,-2.2791083701323125E-35,7.177228152752155E-8
1.5000000000000004E-4,3.5344200469201503E-35,1.8972129098068689E-7
1.6666666666666672E-4,-6.636578655716363E-36,3.2848009647789484E-7
1.833333333333334E-4,-1.2748064615651907E-34,4.7107679460151216E-7
2.0000000000000006E-4,3.35225804302922E-34,6.131783792041247E-7
2.1666666666666674E-4,-2.759001447495512E-34,7.516523669382138E-7
2.333333333333334E-4,-5.9129171023724466E-34,8.782821765613099E-7
2.5000000000000006E-4,1.986220975274425E-33,9.93775888548071E-7
2.6666666666666673E-4,-1.5431929331187526E-33,1.1130969680361226E-6
2.833333333333334E-4,-3.448207355426629E-33,1.2461399849779137E-6
3.000000000000001E-4,9.441321700942298E-33,1.3861759001173668E-6
3.1666666666666676E-4,-3.6640149790408396E-33,1.5236347406862734E-6
3.3333333333333343E-4,-2.011262604294076E-32,1.6567679321353003E-6
3.500000000000001E-4,3.4769703582861185E-32,1.784045294854098E-6
3.666666666666668E-4,9.024817691092101E-33,1.9013735182679855E-6
3.8333333333333345E-4,-9.726858438608596E-32,2.0139751178104055E-6
4.0000000000000013E-4,8.486011820129977E-32,2.138169460833571E-6
4.166666666666668E-4,1.4763816048798087E-31,2.281227807078024E-6
4.333333333333335E-4,-3.493835979901733E-31,2.4280362152817575E-6
4.5000000000000015E-4,-1.532398561735242E-32,2.5586731843022445E-6
4.666666666666668E-4,7.960097355685225E-31,2.673208068531677E-6
4.833333333333335E-4,-6.907683641802827E-31,2.787950876198905E-6
5.000000000000001E-4,-8.510159117602426E-31,2.9117540546318754E-6
5.166666666666668E-4,2.7005230930778503E-30,3.0383381105286398E-6
5.333333333333335E-4,-3.215939613383734E-30,3.161173291319691E-6
5.500000000000001E-4,-8.217850630364483E-30,3.2841465111524823E-6
5.666666666666668E-4,3.0756310333955785E-29,3.41319452673638E-6
5.833333333333335E-4,3.3607955782075956E-29,3.5453067325636153E-6
6.000000000000002E-4,-1.6785844300767807E-28,3.6720472999743326E-6
6.166666666666668E-4,-2.054124942939539E-28,3.7893466914461923E-6
6.333333333333335E-4,7.210272476542543E-28,3.899533348854707E-6
6.500000000000002E-4,1.3052965953911284E-27,4.009174614673536E-6
6.666666666666669E-4,-2.3904614907338196E-27,4.127344459756482E-6
6.833333333333335E-4,-7.166935384591951E-27,4.257870346965801E-6
7.000000000000002E-4,4.7013721109847486E-27,4.391114394750184E-6
7.166666666666669E-4,3.25333197336778E-26,4.512237396260228E-6
7.333333333333336E-4,7.924190327114374E-27,4.618738697277263E-6
7.500000000000002E-4,-1.1817419899709513E-25,4.721603635891362E-6
7.666666666666669E-4,-1.336719904723177E-25,4.830162340870278E-6
7.833333333333336E-4,3.122339300110994E-25,4.944825121934565E-6
8.000000000000003E-4,7.738928575542208E-25,5.063612155753465E-6
8.166666666666669E-4,-3.534571857317977E-25,5.18579263848174E-6
8.333333333333336E-4,-3.032424258024622E-24,5.307131000166545E-6
8.500000000000003E-4,-1.8886555099049564E-24,5.419820259982338E-6
8.66666666666667E-4,8.19697157999527E-24,5.521397865541794E-6
8.833333333333336E-4,1.501706753449847E-23,5.618737688405006E-6
9.000000000000003E-4,-1.032596401111238E-23,5.720027811988972E-6
9.16666666666667E-4,-5.995264088916586E-23,5.827013461828741E-6
9.333333333333336E-4,-3.524598913321058E-23,5.936982304174477E-6
9.500000000000003E-4,1.4849209585373095E-22,6.047494585087089E-6
9.66666666666667E-4,2.844706668520282E-22,6.157025258322658E-6
9.833333333333337E-4,-1.215445844609109E-22,6.264209826815937E-6
0.0010000000000000002,-1.0185716045958904E-21,6.367225912503895E-6
0.0010166666666666668,-8.667861815105343E-22,6.463031412912219E-6
0.0010333333333333334,2.001997256132356E-21,6.550708841372342E-6
0.00105,5.041381950374701E-21,6.637425281624835E-6
0.0010666666666666665,3.5295472280375054E-22,6.73476378159008E-6
0.001083333333333333,-1.4202665674210524E-20,6.8447191625768325E-6
0.0010999999999999996,-1.874872524110179E-20,6.955374676191089E-6
0.0011166666666666662,1.667731590519833E-20,7.054821980276267E-6
0.0011333333333333328,7.33517526247703E-20,7.142364592979845E-6
0.0011499999999999993,4.6915177490676985E-20,7.222599998603968E-6
0.001166666666666666,-1.3956016038117051E-19,7.29916217233922E-6
