% Model,transient_real_pressure.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 20 2025, 18:16"
% Table,探针表 1 - 
% 时间 (s),"总声压 (Pa), 点探针 1","总声压 (Pa), 点探针 2"
0,3.4944808572543617E-41,3.658761769066316E-14
1.6666666666666667E-5,5.190382620029713E-40,1.5898488763127436E-8
3.3333333333333335E-5,-2.39506640663755E-39,2.478542424693461E-8
5.0E-5,1.067203896335433E-38,2.2473343958927312E-8
6.666666666666667E-5,-8.03625737746526E-38,5.469875388597464E-9
8.333333333333334E-5,5.969138125695431E-37,-2.1269673237796006E-8
1.0000000000000002E-4,-3.047032270870505E-36,-3.489665627366182E-8
1.1666666666666669E-4,1.091781871642891E-35,-4.568075800585798E-9
1.3333333333333337E-4,-2.7396788277995294E-35,8.610712170396714E-8
1.5000000000000004E-4,4.2311121194909834E-35,2.2763836920047492E-7
1.6666666666666672E-4,-7.460710777964476E-36,3.941241469546475E-7
1.833333333333334E-4,-1.537111135502345E-34,5.651856801723483E-7
2.0000000000000006E-4,4.01606557492872E-34,7.356104885326338E-7
2.1666666666666674E-4,-3.266565721706213E-34,9.016267739918244E-7
2.333333333333334E-4,-7.144274248556381E-34,1.0533621857140832E-6
2.5000000000000006E-4,2.3750957860434168E-33,1.1916550046975712E-6
2.6666666666666673E-4,-1.8233305663573506E-33,1.334450949715801E-6
2.833333333333334E-4,-4.146974168399928E-33,1.4936127746809998E-6
3.000000000000001E-4,1.1252355570655495E-32,1.6610537530930245E-6
3.1666666666666676E-4,-4.2969947659099494E-33,1.8252774313822741E-6
3.3333333333333343E-4,-2.4014235364168838E-32,1.984173266622165E-6
3.500000000000001E-4,4.141637668297992E-32,2.1358932210170826E-6
3.666666666666668E-4,1.07472164099873E-32,2.27551407374985E-6
3.8333333333333345E-4,-1.1619138827652318E-31,2.409292488546265E-6
4.0000000000000013E-4,1.0191292069466222E-31,2.5568017818242374E-6
4.166666666666668E-4,1.76923941453825E-31,2.7267565875629725E-6
4.333333333333335E-4,-4.209688047941988E-31,2.901007729917365E-6
4.5000000000000015E-4,-2.0603731715489477E-32,3.055636674271088E-6
4.666666666666668E-4,9.683284719580231E-31,3.190715339074571E-6
4.833333333333335E-4,-8.156664451478472E-31,3.3258058863334967E-6
5.000000000000001E-4,-1.0874447559986416E-30,3.4715214882647297E-6
5.166666666666668E-4,3.177315680675166E-30,3.6203162870757097E-6
5.333333333333335E-4,-3.590406611081697E-30,3.7643439155147837E-6
5.500000000000001E-4,-9.568150495377221E-30,3.9082583688168075E-6
5.666666666666668E-4,3.5966079874682937E-29,4.059173510105758E-6
5.833333333333335E-4,3.904723947450404E-29,4.213465929001534E-6
6.000000000000002E-4,-1.9848113765710323E-28,4.361001759823296E-6
6.166666666666668E-4,-2.4131320531649745E-28,4.496887226832557E-6
6.333333333333335E-4,8.567666539346535E-28,4.623907038844221E-6
6.500000000000002E-4,1.546743918235798E-27,4.7499332942619575E-6
6.666666666666669E-4,-2.845842962319505E-27,4.885846169497535E-6
6.833333333333335E-4,-8.528170854073556E-27,5.036229372999338E-6
7.000000000000002E-4,5.586281910138721E-27,5.189507226781799E-6
7.166666666666669E-4,3.877276869358488E-26,5.327862318283541E-6
7.333333333333336E-4,9.602376251818405E-27,5.4482846295498566E-6
7.500000000000002E-4,-1.4081602311744103E-25,5.563948703304E-6
7.666666666666669E-4,-1.6023412819695297E-25,5.686043273801226E-6
7.833333333333336E-4,3.7119277340889054E-25,5.81505291159467E-6
8.000000000000003E-4,9.257197010356985E-25,5.948593580457713E-6
8.166666666666669E-4,-4.138239238634806E-25,6.085779793403394E-6
8.333333333333336E-4,-3.619986828254952E-24,6.221520160166237E-6
8.500000000000003E-4,-2.285985451137431E-24,6.346437792540775E-6
8.66666666666667E-4,9.752108203727289E-24,6.457569980893622E-6
8.833333333333336E-4,1.8003090968491462E-23,6.563158804558106E-6
9.000000000000003E-4,-1.2123917161788711E-23,6.673023894944761E-6
9.16666666666667E-4,-7.158800230694922E-23,6.789253239037857E-6
9.333333333333336E-4,-4.277263163038784E-23,6.908585367872653E-6
9.500000000000003E-4,1.7644287595792389E-22,7.028085753190828E-6
9.66666666666667E-4,3.4076370023067603E-22,7.145917583285605E-6
9.833333333333337E-4,-1.4089691328292771E-22,7.260436914813574E-6
0.0010000000000000002,-1.2138586065423484E-21,7.369450684457466E-6
0.0010166666666666668,-1.0450975066907714E-21,7.469302666155181E-6
0.0010333333333333334,2.3684405115115906E-21,7.55888693890601E-6
0.00105,6.019715563698088E-21,7.64679989303376E-6
0.0010666666666666665,4.914667645689426E-22,7.746937278622848E-6
0.001083333333333333,-1.685607367219665E-20,7.861688188726171E-6
0.0010999999999999996,-2.2456696432650887E-20,7.976746874393496E-6
0.0011166666666666662,1.9491800033753885E-20,8.07781773119399E-6
0.0011333333333333328,8.718871269479354E-20,8.164060486809238E-6
