% Model,transient_real_pressure.mph
% Version,COMSOL 6.3.0.290
% Date,"Mar 20 2025, 17:35"
% Table,探针表 1 - 
% 时间 (s),"总声压 (Pa), 点探针 1","总声压 (Pa), 点探针 2"
0,1.7472404231972729E-41,1.829380884533158E-14
1.6666666666666667E-5,2.339278545010217E-40,7.949324439415843E-9
3.3333333333333335E-5,-1.1122179193319686E-39,1.2394281690163106E-8
5.0E-5,5.270286957059211E-39,1.1241999150763484E-8
6.666666666666667E-5,-4.0582375027897463E-38,2.746022574466379E-9
8.333333333333334E-5,2.9824665682008184E-37,-1.0617509642076125E-8
1.0000000000000002E-4,-1.516338103851248E-36,-1.7426667017447784E-8
1.1666666666666669E-4,5.435940198319003E-36,-2.2610694728450818E-9
1.3333333333333337E-4,-1.3674401357967293E-35,4.307765724924072E-8
1.5000000000000004E-4,2.1205986180506837E-35,1.1385257539064859E-7
1.6666666666666672E-4,-3.981447552258403E-36,1.971259022761856E-7
1.833333333333334E-4,-7.648735270368169E-35,2.827235834715085E-7
2.0000000000000006E-4,2.011306802576213E-34,3.680551849078927E-7
2.1666666666666674E-4,-1.6553311417532972E-34,4.5125055198687577E-7
2.333333333333334E-4,-3.547717225196819E-34,5.273888136011933E-7
2.5000000000000006E-4,1.1917019368058023E-33,5.969031500473759E-7
2.6666666666666673E-4,-9.258735140766414E-34,6.687792731238109E-7
2.833333333333334E-4,-2.0688958598013023E-33,7.489617809621461E-7
3.000000000000001E-4,5.664624994238607E-33,8.334219555899615E-7
3.1666666666666676E-4,-2.198257356779486E-33,9.164269753859019E-7
3.3333333333333343E-4,-1.2067316519262808E-32,9.969367051401986E-7
3.500000000000001E-4,2.086109734301158E-32,1.074041751419683E-6
3.666666666666668E-4,5.4151041811051924E-33,1.14529444465803E-6
3.8333333333333345E-4,-5.835956011797778E-32,1.2138359826968534E-6
4.0000000000000013E-4,5.091370219212301E-32,1.2894653844074848E-6
4.166666666666668E-4,8.858146338378362E-32,1.3765535216366966E-6
4.333333333333335E-4,-2.096226542662471E-31,1.466041312133743E-6
4.5000000000000015E-4,-9.197903311783452E-33,1.545985373718974E-6
4.666666666666668E-4,4.775907562598423E-31,1.6164358291454696E-6
4.833333333333335E-4,-4.144422288121537E-31,1.6871861629287332E-6
5.000000000000001E-4,-5.105942448671749E-31,1.7635552943055955E-6
5.166666666666668E-4,1.6202778926482954E-30,1.8417835212771074E-6
5.333333333333335E-4,-1.929513163593611E-30,1.9179611650479435E-6
5.500000000000001E-4,-4.930768624179577E-30,1.9944283191914924E-6
5.666666666666668E-4,1.845323585953041E-29,2.0747549787819503E-6
5.833333333333335E-4,2.0165590955569367E-29,2.1571430793601933E-6
6.000000000000002E-4,-1.0071133959776863E-28,2.2365395989930216E-6
6.166666666666668E-4,-1.2325117231615852E-28,2.310510938742362E-6
6.333333333333335E-4,4.325948675978901E-28,2.380461668825565E-6
6.500000000000002E-4,7.831840756653256E-28,2.4503392283146457E-6
