% Model,transient_real_pressure.mph,
% Version,COMSOL 6.3.0.290,
% Date,"Mar 20 2025, 17:02",
% Table,探针�?1 - ,
% 时间 (s),"总声�?(Pa), 点探�?1","总声�?(Pa), 点探�?2"
0.00245,1.50E-08,-1.09E-05
0.002466667,1.59E-08,-1.11E-05
0.002483333,1.52E-08,-1.12E-05
0.0025,1.64E-08,-1.14E-05
0.002516667,2.42E-08,-1.15E-05
0.002533333,4.25E-08,-1.16E-05
0.00255,7.12E-08,-1.17E-05
0.002566667,1.07E-07,-1.17E-05
0.002583333,1.48E-07,-1.18E-05
0.0026,1.94E-07,-1.18E-05
0.002616667,2.54E-07,-1.19E-05
0.002633333,3.33E-07,-1.19E-05
0.00265,4.32E-07,-1.19E-05
0.002666667,5.40E-07,-1.18E-05
0.002683333,6.46E-07,-1.18E-05
0.0027,7.41E-07,-1.17E-05
0.002716667,8.23E-07,-1.16E-05
0.002733333,8.99E-07,-1.15E-05
0.00275,9.79E-07,-1.14E-05
0.002766667,1.07E-06,-1.12E-05
0.002783333,1.16E-06,-1.11E-05
0.0028,1.26E-06,-1.09E-05
0.002816667,1.36E-06,-1.07E-05
0.002833333,1.46E-06,-1.05E-05
0.00285,1.55E-06,-1.02E-05
0.002866667,1.63E-06,-9.92E-06
0.002883333,1.70E-06,-9.63E-06
0.0029,1.77E-06,-9.37E-06
0.002916667,1.84E-06,-9.13E-06
0.002933333,1.91E-06,-8.87E-06
0.00295,2.00E-06,-8.59E-06
0.002966667,2.09E-06,-8.31E-06
0.002983333,2.17E-06,-8.02E-06
0.003,2.24E-06,-7.76E-06
0.003016667,2.30E-06,-7.49E-06
0.003033333,2.35E-06,-7.23E-06
0.00305,2.39E-06,-6.97E-06
0.003066667,2.43E-06,-6.73E-06
0.003083333,2.47E-06,-6.48E-06
0.0031,2.52E-06,-6.24E-06
0.003116667,2.58E-06,-5.98E-06
0.003133333,2.64E-06,-5.72E-06
0.00315,2.69E-06,-5.46E-06
0.003166667,2.72E-06,-5.21E-06
0.003183333,2.75E-06,-4.96E-06
0.0032,2.77E-06,-4.70E-06
0.003216667,2.79E-06,-4.41E-06
0.003233333,2.81E-06,-4.10E-06
0.00325,2.82E-06,-3.77E-06
0.003266667,2.84E-06,-3.43E-06
0.003283333,2.85E-06,-3.09E-06
0.0033,2.87E-06,-2.75E-06
0.003316667,2.89E-06,-2.41E-06
0.003333333,2.91E-06,-2.05E-06
0.00335,2.92E-06,-1.67E-06
0.003366667,2.93E-06,-1.27E-06
0.003383333,2.92E-06,-8.64E-07
0.0034,2.90E-06,-4.67E-07
0.003416667,2.88E-06,-7.73E-08
0.003433333,2.87E-06,3.09E-07
0.00345,2.85E-06,6.93E-07
0.003466667,2.83E-06,1.08E-06
0.003483333,2.82E-06,1.47E-06
0.0035,2.80E-06,1.87E-06
0.003516667,2.78E-06,2.27E-06
0.003533333,2.76E-06,2.66E-06
0.00355,2.73E-06,3.00E-06
0.003566667,2.70E-06,3.33E-06
0.003583333,2.65E-06,3.66E-06
0.0036,2.61E-06,4.00E-06
0.003616667,2.55E-06,4.34E-06
0.003633333,2.50E-06,4.69E-06
0.00365,2.45E-06,5.01E-06
0.003666667,2.40E-06,5.33E-06
0.003683333,2.35E-06,5.62E-06
0.0037,2.30E-06,5.91E-06
0.003716667,2.25E-06,6.20E-06
0.003733333,2.19E-06,6.48E-06
0.00375,2.13E-06,6.77E-06
0.003766667,2.06E-06,7.06E-06
0.003783333,1.99E-06,7.33E-06
0.0038,1.92E-06,7.60E-06
0.003816667,1.84E-06,7.85E-06
0.003833333,1.76E-06,8.10E-06
0.00385,1.68E-06,8.35E-06
0.003866667,1.60E-06,8.61E-06
0.003883333,1.53E-06,8.85E-06
0.0039,1.46E-06,9.09E-06
0.003916667,1.38E-06,9.32E-06
0.003933333,1.30E-06,9.54E-06
0.00395,1.22E-06,9.75E-06
0.003966667,1.13E-06,9.94E-06
0.003983333,1.04E-06,1.01E-05
0.004,9.45E-07,1.03E-05
0.004016667,8.50E-07,1.05E-05
0.004033333,7.55E-07,1.07E-05
0.00405,6.61E-07,1.08E-05
0.004066667,5.68E-07,1.10E-05
0.004083333,4.76E-07,1.11E-05
0.0041,3.84E-07,1.12E-05
0.004116667,2.93E-07,1.13E-05
0.004133333,2.01E-07,1.14E-05
0.00415,1.10E-07,1.15E-05
0.004166667,1.67E-08,1.15E-05
0.004183333,-7.81E-08,1.16E-05
0.0042,-1.75E-07,1.16E-05
0.004216667,-2.73E-07,1.16E-05
0.004233333,-3.72E-07,1.16E-05
0.00425,-4.71E-07,1.16E-05
0.004266667,-5.69E-07,1.16E-05
0.004283333,-6.65E-07,1.16E-05
0.0043,-7.58E-07,1.16E-05
0.004316667,-8.47E-07,1.15E-05
0.004333333,-9.35E-07,1.14E-05
0.00435,-1.02E-06,1.13E-05
0.004366667,-1.11E-06,1.13E-05
0.004383333,-1.20E-06,1.12E-05
0.0044,-1.28E-06,1.11E-05
0.004416667,-1.37E-06,1.10E-05
0.004433333,-1.46E-06,1.09E-05
0.00445,-1.55E-06,1.07E-05
0.004466667,-1.63E-06,1.05E-05
0.004483333,-1.72E-06,1.04E-05
0.0045,-1.80E-06,1.02E-05
0.004516667,-1.88E-06,1.00E-05
0.004533333,-1.95E-06,9.84E-06
0.00455,-2.02E-06,9.63E-06
0.004566667,-2.09E-06,9.40E-06
0.004583333,-2.15E-06,9.15E-06
0.0046,-2.22E-06,8.90E-06
0.004616667,-2.28E-06,8.66E-06
0.004633333,-2.35E-06,8.42E-06
0.00465,-2.42E-06,8.17E-06
0.004666667,-2.48E-06,7.91E-06
0.004683333,-2.53E-06,7.63E-06
0.0047,-2.58E-06,7.32E-06
0.004716667,-2.63E-06,7.00E-06
0.004733333,-2.67E-06,6.67E-06
0.00475,-2.71E-06,6.35E-06
0.004766667,-2.74E-06,6.03E-06
0.004783333,-2.77E-06,5.72E-06
0.0048,-2.79E-06,5.40E-06
0.004816667,-2.81E-06,5.06E-06
0.004833333,-2.83E-06,4.71E-06
0.00485,-2.85E-06,4.35E-06
0.004866667,-2.86E-06,4.00E-06
0.004883333,-2.87E-06,3.66E-06
0.0049,-2.87E-06,3.33E-06
0.004916667,-2.87E-06,3.00E-06
0.004933333,-2.87E-06,2.65E-06
0.00495,-2.86E-06,2.30E-06
0.004966667,-2.85E-06,1.92E-06
0.004983333,-2.83E-06,1.54E-06
0.005,-2.81E-06,1.17E-06
0.005016667,-2.78E-06,8.24E-07
0.005033333,-2.75E-06,5.02E-07
0.00505,-2.73E-06,1.88E-07
0.005066667,-2.70E-06,-1.43E-07
0.005083333,-2.68E-06,-5.00E-07
0.0051,-2.65E-06,-8.70E-07
0.005116667,-2.62E-06,-1.23E-06
0.005133333,-2.59E-06,-1.57E-06
0.00515,-2.56E-06,-1.89E-06
0.005166667,-2.52E-06,-2.21E-06
0.005183333,-2.48E-06,-2.53E-06
0.0052,-2.43E-06,-2.87E-06
0.005216667,-2.37E-06,-3.23E-06
0.005233333,-2.32E-06,-3.58E-06
0.00525,-2.26E-06,-3.92E-06
0.005266667,-2.20E-06,-4.24E-06
0.005283333,-2.13E-06,-4.54E-06
0.0053,-2.07E-06,-4.83E-06
0.005316667,-2.01E-06,-5.13E-06
0.005333333,-1.95E-06,-5.45E-06
0.00535,-1.88E-06,-5.77E-06
0.005366667,-1.82E-06,-6.09E-06
0.005383333,-1.75E-06,-6.39E-06
0.0054,-1.68E-06,-6.67E-06
0.005416667,-1.61E-06,-6.94E-06
0.005433333,-1.54E-06,-7.21E-06
0.00545,-1.48E-06,-7.48E-06
0.005466667,-1.41E-06,-7.77E-06
0.005483333,-1.35E-06,-8.04E-06
0.0055,-1.28E-06,-8.30E-06
0.005516667,-1.22E-06,-8.54E-06
0.005533333,-1.15E-06,-8.76E-06
0.00555,-1.09E-06,-8.97E-06
0.005566667,-1.03E-06,-9.18E-06
0.005583333,-9.64E-07,-9.39E-06
0.0056,-9.03E-07,-9.61E-06
0.005616667,-8.40E-07,-9.81E-06
0.005633333,-7.76E-07,-1.00E-05
0.00565,-7.08E-07,-1.02E-05
0.005666667,-6.38E-07,-1.03E-05
0.005683333,-5.66E-07,-1.05E-05
0.0057,-4.94E-07,-1.06E-05
0.005716667,-4.22E-07,-1.08E-05
0.005733333,-3.51E-07,-1.09E-05
0.00575,-2.78E-07,-1.10E-05
0.005766667,-2.04E-07,-1.11E-05
0.005783333,-1.28E-07,-1.12E-05
0.0058,-4.86E-08,-1.12E-05
0.005816667,3.20E-08,-1.13E-05
0.005833333,1.13E-07,-1.13E-05
0.00585,1.94E-07,-1.13E-05
0.005866667,2.74E-07,-1.14E-05
0.005883333,3.52E-07,-1.14E-05
0.0059,4.30E-07,-1.13E-05
0.005916667,5.07E-07,-1.13E-05
0.005933333,5.85E-07,-1.12E-05
0.00595,6.64E-07,-1.12E-05
0.005966667,7.43E-07,-1.11E-05
0.005983333,8.21E-07,-1.10E-05
0.006,8.98E-07,-1.09E-05
0.006016667,9.71E-07,-1.08E-05
0.006033333,1.04E-06,-1.07E-05
0.00605,1.11E-06,-1.05E-05
0.006066667,1.18E-06,-1.04E-05
0.006083333,1.25E-06,-1.02E-05
0.0061,1.31E-06,-1.01E-05
0.006116667,1.38E-06,-9.95E-06
0.006133333,1.45E-06,-9.80E-06
0.00615,1.51E-06,-9.63E-06
0.006166667,1.58E-06,-9.45E-06
0.006183333,1.64E-06,-9.25E-06
0.0062,1.70E-06,-9.06E-06
0.006216667,1.76E-06,-8.88E-06
0.006233333,1.81E-06,-8.70E-06
0.00625,1.86E-06,-8.51E-06
0.006266667,1.91E-06,-8.30E-06
0.006283333,1.96E-06,-8.07E-06
0.0063,2.01E-06,-7.83E-06
0.006316667,2.06E-06,-7.59E-06
0.006333333,2.11E-06,-7.35E-06
0.00635,2.16E-06,-7.11E-06
0.006366667,2.20E-06,-6.86E-06
0.006383333,2.24E-06,-6.60E-06
0.0064,2.28E-06,-6.30E-06
0.006416667,2.32E-06,-5.99E-06
0.006433333,2.36E-06,-5.67E-06
0.00645,2.40E-06,-5.35E-06
0.006466667,2.43E-06,-5.03E-06
0.006483333,2.46E-06,-4.71E-06
0.0065,2.49E-06,-4.38E-06
0.006516667,2.51E-06,-4.03E-06
0.006533333,2.53E-06,-3.67E-06
0.00655,2.55E-06,-3.30E-06
0.006566667,2.57E-06,-2.93E-06
0.006583333,2.58E-06,-2.57E-06
0.0066,2.59E-06,-2.22E-06
0.006616667,2.61E-06,-1.87E-06
0.006633333,2.62E-06,-1.52E-06
0.00665,2.62E-06,-1.16E-06
0.006666667,2.63E-06,-7.86E-07
0.006683333,2.63E-06,-4.13E-07
0.0067,2.63E-06,-4.80E-08
0.006716667,2.62E-06,3.04E-07
0.006733333,2.62E-06,6.45E-07
0.00675,2.61E-06,9.79E-07
0.006766667,2.60E-06,1.32E-06
0.006783333,2.58E-06,1.66E-06
0.0068,2.57E-06,2.01E-06
0.006816667,2.55E-06,2.35E-06
0.006833333,2.54E-06,2.67E-06
0.00685,2.52E-06,2.99E-06
0.006866667,2.50E-06,3.29E-06
0.006883333,2.47E-06,3.61E-06
0.0069,2.44E-06,3.92E-06
0.006916667,2.42E-06,4.24E-06
0.006933333,2.38E-06,4.55E-06
0.00695,2.35E-06,4.87E-06
0.006966667,2.32E-06,5.18E-06
0.006983333,2.28E-06,5.48E-06
0.007,2.24E-06,5.77E-06
0.007016667,2.21E-06,6.05E-06
0.007033333,2.17E-06,6.34E-06
0.00705,2.13E-06,6.64E-06
0.007066667,2.08E-06,6.93E-06
0.007083333,2.04E-06,7.21E-06
0.0071,1.99E-06,7.47E-06
0.007116667,1.94E-06,7.72E-06
0.007133333,1.89E-06,7.97E-06
0.00715,1.85E-06,8.23E-06
0.007166667,1.80E-06,8.48E-06
0.007183333,1.74E-06,8.73E-06
0.0072,1.69E-06,8.95E-06
0.007216667,1.64E-06,9.16E-06
0.007233333,1.58E-06,9.36E-06
0.00725,1.52E-06,9.55E-06
0.007266667,1.47E-06,9.72E-06
0.007283333,1.41E-06,9.89E-06
0.0073,1.35E-06,1.01E-05
0.007316667,1.29E-06,1.02E-05
0.007333333,1.24E-06,1.04E-05
0.00735,1.17E-06,1.05E-05
0.007366667,1.11E-06,1.06E-05
0.007383333,1.05E-06,1.07E-05
0.0074,9.92E-07,1.08E-05
0.007416667,9.31E-07,1.09E-05
0.007433333,8.69E-07,1.10E-05
0.00745,8.07E-07,1.10E-05
0.007466667,7.44E-07,1.11E-05
0.007483333,6.81E-07,1.11E-05
0.0075,6.18E-07,1.12E-05
0.007516667,5.55E-07,1.12E-05
0.007533333,4.92E-07,1.12E-05
0.00755,4.28E-07,1.12E-05
0.007566667,3.64E-07,1.12E-05
0.007583333,3.01E-07,1.12E-05
0.0076,2.38E-07,1.12E-05
0.007616667,1.74E-07,1.11E-05
0.007633333,1.09E-07,1.10E-05
0.00765,4.41E-08,1.10E-05
0.007666667,-2.03E-08,1.09E-05
0.007683333,-8.36E-08,1.08E-05
0.0077,-1.46E-07,1.07E-05
0.007716667,-2.08E-07,1.06E-05
0.007733333,-2.70E-07,1.05E-05
0.00775,-3.32E-07,1.04E-05
0.007766667,-3.94E-07,1.02E-05
0.007783333,-4.55E-07,1.01E-05
0.0078,-5.16E-07,9.93E-06
0.007816667,-5.76E-07,9.77E-06
0.007833333,-6.34E-07,9.59E-06
0.00785,-6.90E-07,9.41E-06
0.007866667,-7.43E-07,9.20E-06
0.007883333,-7.95E-07,8.99E-06
0.0079,-8.45E-07,8.78E-06
0.007916667,-8.93E-07,8.55E-06
0.007933333,-9.41E-07,8.33E-06
0.00795,-9.86E-07,8.10E-06
0.007966667,-1.03E-06,7.85E-06
